episode,reward,steps,key,door,goal,exploration
644,0.88,14,1,1,1,0.28
645,0.92,10,1,1,1,0.28
646,1.0,8,1,1,1,0.28
647,0.92,11,1,1,1,0.28
648,0.96,10,1,1,1,0.28
649,1.02,8,1,1,1,0.28
650,0.92,13,1,1,1,0.28
651,0.96,9,1,1,1,0.28
652,0.92,11,1,1,1,0.28
653,-0.76,50,1,0,0,0.28
654,1.04,7,1,1,1,0.28
655,0.74,16,1,1,1,0.28
656,-0.52,50,1,1,0,0.28
657,1.04,7,1,1,1,0.28
658,0.18,37,1,1,1,0.28
659,0.96,10,1,1,1,0.28
660,1.0,9,1,1,1,0.28
661,0.84,13,1,1,1,0.28
662,0.56,26,1,1,1,0.28
663,0.52,22,1,1,1,0.28
664,0.92,12,1,1,1,0.28
665,0.84,13,1,1,1,0.28
666,0.92,11,1,1,1,0.28
667,0.76,20,1,1,1,0.28
668,1.04,7,1,1,1,0.28
669,0.5,26,1,1,1,0.28
670,0.3,30,1,1,1,0.28
671,1.0,8,1,1,1,0.28
672,0.46,24,1,1,1,0.28
673,-0.22,50,1,1,0,0.28
674,-0.38,45,1,1,1,0.28
675,0.92,12,1,1,1,0.28
676,1.0,9,1,1,1,0.28
677,1.04,7,1,1,1,0.28
678,1.04,7,1,1,1,0.28
679,1.04,7,1,1,1,0.28
680,1.0,8,1,1,1,0.28
681,0.8,18,1,1,1,0.28
682,0.92,13,1,1,1,0.28
683,0.52,22,1,1,1,0.28
684,0.92,11,1,1,1,0.28
685,0.98,10,1,1,1,0.28
686,0.32,27,1,1,1,0.28
687,0.86,14,1,1,1,0.28
688,0.58,22,1,1,1,0.28
689,0.98,10,1,1,1,0.28
690,0.88,13,1,1,1,0.28
691,1.02,8,1,1,1,0.28
692,1.04,7,1,1,1,0.28
693,0.86,14,1,1,1,0.28
694,-0.62,50,1,0,0,0.28
695,0.92,11,1,1,1,0.28
696,-0.66,50,1,1,0,0.28
697,0.88,13,1,1,1,0.28
698,0.94,11,1,1,1,0.28
699,1.04,7,1,1,1,0.28
700,0.9,13,1,1,1,0.28
701,0.34,28,1,1,1,0.28
702,1.0,8,1,1,1,0.28
703,1.04,7,1,1,1,0.28
704,0.86,14,1,1,1,0.28
705,1.04,7,1,1,1,0.28
706,-0.36,50,1,1,0,0.28
707,0.96,9,1,1,1,0.28
708,0.6,22,1,1,1,0.28
709,1.04,7,1,1,1,0.28
710,1.04,7,1,1,1,0.28
711,-0.06,50,1,1,0,0.28
712,0.82,14,1,1,1,0.28
713,0.92,13,1,1,1,0.28
714,0.88,12,1,1,1,0.28
715,0.9,13,1,1,1,0.28
716,-0.76,50,0,0,0,0.28
717,0.68,21,1,1,1,0.28
718,0.8,16,1,1,1,0.28
719,0.94,10,1,1,1,0.28
720,0.84,16,1,1,1,0.28
721,-0.26,44,1,1,1,0.28
722,0.74,16,1,1,1,0.28
723,1.02,8,1,1,1,0.28
724,0.96,9,1,1,1,0.28
725,1.02,8,1,1,1,0.28
726,1.04,7,1,1,1,0.28
727,0.88,12,1,1,1,0.28
728,1.04,7,1,1,1,0.28
729,0.96,9,1,1,1,0.28
730,1.0,8,1,1,1,0.28
731,0.9,14,1,1,1,0.28
732,0.92,10,1,1,1,0.28
733,0.92,11,1,1,1,0.28
734,0.96,10,1,1,1,0.28
735,0.96,10,1,1,1,0.28
736,0.58,24,1,1,1,0.28
737,1.04,7,1,1,1,0.28
738,0.96,11,1,1,1,0.28
739,0.98,9,1,1,1,0.28
740,0.96,9,1,1,1,0.28
741,0.56,20,1,1,1,0.28
742,0.96,10,1,1,1,0.28
743,0.96,9,1,1,1,0.28
744,0.92,12,1,1,1,0.28
745,0.78,17,1,1,1,0.28
746,1.04,7,1,1,1,0.28
747,0.04,38,1,1,1,0.28
748,0.92,11,1,1,1,0.28
749,0.86,13,1,1,1,0.28
750,0.88,12,1,1,1,0.28
751,0.88,14,1,1,1,0.28
752,0.96,10,1,1,1,0.28
753,-0.22,50,1,1,0,0.28
754,1.04,7,1,1,1,0.28
755,-0.14,50,1,1,0,0.28
756,0.8,17,1,1,1,0.28
757,1.0,8,1,1,1,0.28
758,1.0,9,1,1,1,0.28
759,0.72,19,1,1,1,0.28
760,0.94,10,1,1,1,0.28
761,0.36,29,1,1,1,0.28
762,1.0,8,1,1,1,0.28
763,0.14,37,1,1,1,0.28
764,1.04,7,1,1,1,0.28
765,0.78,18,1,1,1,0.28
