episode,reward,steps,key,door,goal
857,-0.4,50,1,1,0
858,-0.28,50,1,1,0
859,-0.32,50,1,1,0
860,-0.18,50,1,1,0
861,-0.2,50,1,0,0
862,-0.08,49,1,1,1
863,0.82,13,1,1,1
864,-0.34,50,1,0,0
865,-0.38,50,1,0,0
866,-0.3,50,1,1,0
867,-0.44,50,1,0,0
868,0.26,35,1,1,1
869,-0.44,50,1,1,0
870,-0.36,50,1,1,0
871,-0.26,50,1,1,0
872,-0.34,50,1,0,0
873,-0.22,50,1,1,0
874,-0.42,50,1,1,0
875,-0.26,50,1,1,0
876,-0.24,50,1,0,0
877,-0.3,50,1,1,0
878,-0.26,50,1,0,0
879,-0.38,50,1,1,0
880,-0.46,50,1,0,0
881,-0.34,50,1,1,0
882,-0.34,50,1,1,0
883,-0.28,50,1,1,0
884,-0.28,50,1,1,0
885,-0.38,50,1,0,0
886,-0.44,50,0,0,0
887,-0.22,50,1,1,0
888,-0.4,50,0,0,0
889,-0.36,50,1,0,0
890,-0.26,50,1,1,0
891,-0.24,50,1,0,0
892,-0.4,50,1,0,0
893,-0.34,50,1,0,0
894,0.24,35,1,1,1
895,0.66,21,1,1,1
896,-0.38,50,1,1,0
897,-0.4,50,1,1,0
898,-0.3,50,1,1,0
899,-0.36,50,1,0,0
900,-0.5,50,1,1,0
901,-0.4,50,1,1,0
902,-0.34,50,1,1,0
903,0.26,37,1,1,1
904,-0.34,50,1,1,0
905,-0.54,50,1,1,0
906,0.7,19,1,1,1
907,-0.4,50,0,0,0
908,-0.3,50,1,0,0
909,-0.44,50,0,0,0
910,-0.3,50,1,1,0
911,-0.22,50,1,1,0
912,-0.36,50,1,0,0
913,-0.42,50,1,0,0
914,-0.42,50,1,0,0
915,-0.32,50,1,1,0
916,-0.3,50,1,1,0
917,-0.3,50,0,0,0
918,-0.26,50,1,1,0
919,-0.34,50,1,0,0
920,-0.38,50,1,1,0
921,-0.26,50,1,0,0
922,-0.32,50,1,1,0
923,-0.36,50,1,1,1
924,-0.46,50,1,1,0
925,-0.32,50,1,1,0
926,-0.38,50,1,0,0
927,-0.34,50,1,0,0
928,-0.28,50,1,1,0
929,-0.3,50,1,1,0
930,-0.42,50,1,1,0
931,-0.3,50,0,0,0
932,-0.3,50,0,0,0
933,-0.46,50,0,0,0
934,-0.5,50,0,0,0
935,-0.3,50,1,0,0
936,-0.26,50,1,0,0
937,-0.38,50,1,0,0
938,-0.26,50,0,0,0
939,-0.36,50,0,0,0
940,-0.28,50,1,0,0
941,-0.34,50,1,1,0
942,-0.32,50,1,0,0
943,-0.32,50,1,1,0
944,-0.34,50,1,0,0
945,-0.34,50,0,0,0
946,-0.34,50,1,0,0
947,-0.26,50,1,1,0
948,-0.32,50,0,0,0
949,-0.52,50,0,0,0
950,-0.3,50,0,0,0
951,-0.36,50,0,0,0
952,-0.46,50,0,0,0
953,-0.38,50,0,0,0
954,-0.38,50,1,1,0
955,-0.38,50,0,0,0
956,-0.36,50,1,1,0
957,-0.54,50,1,0,0
958,-0.32,50,1,1,0
959,-0.36,50,1,0,0
960,-0.28,50,1,1,0
961,-0.34,50,1,1,0
962,-0.44,50,1,0,0
963,-0.3,50,1,0,0
964,-0.38,50,1,1,0
965,-0.46,50,1,0,0
966,-0.38,50,0,0,0
967,-0.42,50,1,0,0
968,-0.4,50,1,0,0
969,-0.34,50,1,0,0
970,-0.36,50,0,0,0
971,-0.38,50,1,0,0
972,-0.38,50,0,0,0
973,-0.44,50,1,0,0
974,-0.38,50,1,0,0
975,-0.34,50,1,1,0
