episode,reward,steps,key,door,goal
652,0.38,32,1,1,1
653,0.8,17,1,1,1
654,0.68,21,1,1,1
655,0.8,16,1,1,1
656,0.9,14,1,1,1
657,0.28,38,1,1,1
658,0.8,16,1,1,1
659,0.58,26,1,1,1
660,0.64,24,1,1,1
661,0.92,12,1,1,1
662,-0.04,47,1,1,1
663,-0.18,50,1,1,0
664,0.82,15,1,1,1
665,0.84,14,1,1,1
666,0.42,35,1,1,1
667,0.34,37,1,1,1
668,0.66,23,1,1,1
669,0.78,17,1,1,1
670,0.24,38,1,1,1
671,0.96,10,1,1,1
672,0.12,45,1,1,1
673,-0.3,50,1,0,0
674,0.84,15,1,1,1
675,0.74,19,1,1,1
676,-0.2,50,1,1,0
677,1.0,9,1,1,1
678,-0.18,50,1,1,0
679,0.56,28,1,1,1
680,0.86,14,1,1,1
681,0.48,30,1,1,1
682,0.72,21,1,1,1
683,0.78,14,1,1,1
684,1.0,9,1,1,1
685,0.88,13,1,1,1
686,0.5,30,1,1,1
687,0.64,23,1,1,1
688,-0.18,50,1,1,0
689,0.66,21,1,1,1
690,0.88,13,1,1,1
691,0.78,16,1,1,1
692,0.88,13,1,1,1
693,-0.18,50,1,1,0
694,0.52,27,1,1,1
695,0.54,28,1,1,1
696,0.36,34,1,1,1
697,0.64,23,1,1,1
698,-0.26,50,1,1,0
699,0.96,9,1,1,1
700,0.82,16,1,1,1
701,0.7,21,1,1,1
702,0.8,17,1,1,1
703,0.8,16,1,1,1
704,0.88,14,1,1,1
705,0.88,15,1,1,1
706,0.56,27,1,1,1
707,-0.04,48,1,1,1
708,0.92,11,1,1,1
709,0.92,11,1,1,1
710,0.76,18,1,1,1
711,0.62,25,1,1,1
712,0.8,16,1,1,1
713,0.44,30,1,1,1
714,1.0,9,1,1,1
715,0.98,9,1,1,1
716,0.74,21,1,1,1
717,0.7,22,1,1,1
718,0.56,27,1,1,1
719,-0.12,50,1,1,0
720,0.5,29,1,1,1
721,0.8,15,1,1,1
722,0.84,16,1,1,1
723,0.78,17,1,1,1
724,0.76,19,1,1,1
725,0.8,18,1,1,1
726,0.4,34,1,1,1
727,-0.2,50,1,1,0
728,0.78,18,1,1,1
729,0.82,15,1,1,1
730,0.68,20,1,1,1
731,1.04,7,1,1,1
732,0.26,41,1,1,1
733,0.26,38,1,1,1
734,0.4,33,1,1,1
735,0.78,18,1,1,1
736,0.96,9,1,1,1
737,0.86,15,1,1,1
738,0.46,28,1,1,1
739,0.66,25,1,1,1
740,0.42,35,1,1,1
741,0.94,12,1,1,1
742,0.56,28,1,1,1
743,0.16,44,1,1,1
744,0.68,22,1,1,1
745,-0.16,50,1,0,0
746,0.48,28,1,1,1
747,0.24,41,1,1,1
748,0.78,18,1,1,1
749,0.84,15,1,1,1
750,0.82,14,1,1,1
751,0.82,17,1,1,1
752,0.84,14,1,1,1
753,1.0,9,1,1,1
754,0.88,11,1,1,1
755,0.28,36,1,1,1
756,-0.14,50,1,1,0
757,-0.22,50,1,1,0
758,0.88,13,1,1,1
759,0.02,46,1,1,1
760,0.58,28,1,1,1
761,0.92,11,1,1,1
762,0.54,26,1,1,1
763,0.56,28,1,1,1
764,0.64,22,1,1,1
765,-0.2,50,1,1,0
766,0.88,11,1,1,1
767,0.88,12,1,1,1
768,0.78,17,1,1,1
769,0.84,15,1,1,1
770,0.88,14,1,1,1
771,0.8,15,1,1,1
772,-0.16,50,1,1,0
773,1.02,8,1,1,1
774,0.8,18,1,1,1
775,0.62,24,1,1,1
776,0.82,15,1,1,1
777,1.02,8,1,1,1
778,0.92,12,1,1,1
779,-0.2,50,1,1,0
780,0.36,36,1,1,1
781,0.68,23,1,1,1
782,0.88,14,1,1,1
783,0.68,19,1,1,1
784,0.36,36,1,1,1
785,0.72,17,1,1,1
786,0.02,48,1,1,1
787,0.58,25,1,1,1
788,0.94,12,1,1,1
789,0.86,14,1,1,1
790,0.54,29,1,1,1
791,-0.22,50,1,1,0
792,0.94,11,1,1,1
793,0.62,26,1,1,1
794,0.76,16,1,1,1
795,0.66,21,1,1,1
796,0.88,12,1,1,1
797,0.98,10,1,1,1
798,-0.02,46,1,1,1
799,0.92,11,1,1,1
800,1.0,9,1,1,1
801,0.96,9,1,1,1
802,0.98,9,1,1,1
803,0.72,22,1,1,1
804,0.22,37,1,1,1
805,0.74,20,1,1,1
806,0.5,31,1,1,1
807,0.9,11,1,1,1
808,0.7,21,1,1,1
809,0.04,48,1,1,1
810,0.76,17,1,1,1
811,0.54,26,1,1,1
812,-0.18,50,1,1,0
813,0.7,19,1,1,1
814,0.72,20,1,1,1
815,0.84,15,1,1,1
816,0.32,36,1,1,1
817,0.72,21,1,1,1
818,0.94,10,1,1,1
819,0.88,13,1,1,1
820,0.92,12,1,1,1
821,0.56,27,1,1,1
822,1.0,9,1,1,1
823,-0.24,50,1,1,0
824,-0.22,50,1,1,0
825,1.04,7,1,1,1
826,0.72,21,1,1,1
827,-0.22,50,1,1,0
828,0.36,34,1,1,1
829,0.52,27,1,1,1
830,0.98,9,1,1,1
831,-0.18,50,1,1,0
832,-0.22,50,1,1,0
833,-0.16,50,1,1,0
834,-0.3,50,1,1,0
835,0.94,12,1,1,1
836,0.56,28,1,1,1
837,0.98,9,1,1,1
838,0.58,26,1,1,1
839,-0.22,50,1,1,0
840,0.36,29,1,1,1
841,0.88,13,1,1,1
842,0.36,34,1,1,1
843,0.62,23,1,1,1
844,0.34,37,1,1,1
845,0.94,11,1,1,1
846,0.92,10,1,1,1
847,0.76,17,1,1,1
848,0.8,16,1,1,1
